lat,lon,name,admin1,admin2,cc,coord_tuple
25.0657,55.17128,Dubai,Dubai,,AE,"('25.1461871', '55.2280775')"
45.64861,25.60613,Brasov,Brasov,,RO,"('45.64997', '25.602686')"
-26.20227,28.04363,Johannesburg,Gauteng,City of Johannesburg Metropolitan Municipality,ZA,"('-26.2046455', '28.0579022')"
-26.1625,27.8725,Roodepoort,Gauteng,City of Johannesburg Metropolitan Municipality,ZA,"('-26.1143654', '27.966576')"
24.68773,46.72185,Riyadh,Ar Riyad,,SA,"('24.7277577', '46.7847473')"
29.60018,32.31671,Ain Sukhna,As Suways,,EG,"('29.44297', '32.479674')"
24.80361,120.96861,Hsinchu,Taiwan,Hsinchu,TW,"('24.8177172', '120.9751303')"
1.28967,103.85007,Singapore,,,SG,"('1.2876834', '103.8605974')"
25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('25.279102', '55.3853889')"
25.0657,55.17128,Dubai,Dubai,,AE,"('25.1885911', '55.2645504')"
28.58,77.33,Noida,Uttar Pradesh,Gautam Buddha Nagar,IN,"('28.537511', '77.2903583')"
25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('25.2484941', '55.3008688')"
55.44194,37.94806,Yakovlevskoye,Moskovskaya,,RU,"('55.4103069', '37.9024513')"
25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('25.2259419', '55.4652512')"
21.54238,39.19797,Jeddah,Makkah,,SA,"('21.793757', '39.132823')"
50.29761,18.67658,Gliwice,Silesian Voivodeship,Gliwice,PL,"('50.3038957', '18.6718165')"
9.93988,76.26022,Cochin,Kerala,Ernakulam,IN,"('9.977565', '76.276367')"
17.01505,54.09237,Salalah,Zufar,,OM,"('17.0400298', '54.3005819')"
9.05785,7.49508,Abuja,Abuja Federal Capital Territory,,NG,"('9.0240819', '7.4872597')"
25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('25.2848318', '55.3377485')"
29.21399,78.95693,Kashipur,Uttarakhand,Udham Singh Nagar,IN,"('29.2209888', '78.9578063')"
25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('25.265301', '55.32184')"
25.0657,55.17128,Dubai,Dubai,,AE,"('25.1084742', '55.1454258')"
6.0212,80.2503,Unawatuna,Southern,,LK,"('6.008983', '80.2507435')"
15.49574,73.82624,Panaji,Goa,North Goa,IN,"('15.4988988', '73.833425')"
10.42994,-66.8161,El Hatillo,Miranda,Municipio El Hatillo,VE,"('10.4259755', '-66.8355592')"
51.54057,-0.14334,Camden Town,England,Greater London,GB,"('51.5230174', '-0.1543613')"
